calendar_year,calendar_month,route,average_daily_ridership,source,objectid,city
2019,10,94,577,APC,293,Philadelphia
2019,10,95,585,APC,294,Philadelphia
2019,10,96,1509,APC,295,Philadelphia
2019,10,97,645,APC,296,Philadelphia
2019,10,98,999,APC,297,Philadelphia
2019,10,99,1309,APC,298,Philadelphia
2019,10,D1,4180,Traffic,299,Philadelphia
2019,10,D2,4235,Traffic,300,Philadelphia
2019,10,103,1320,APC,301,Philadelphia
2019,10,104,3399,APC,302,Philadelphia
2019,10,105,1274,APC,303,Philadelphia
2019,10,106,1351,APC,304,Philadelphia
2019,10,107,1035,APC,305,Philadelphia
2019,10,108,5372,APC,306,Philadelphia
2019,10,109,4620,APC,307,Philadelphia
2019,10,110,2077,APC,308,Philadelphia
2019,10,111,1602,APC,309,Philadelphia
2019,10,112,1202,APC,310,Philadelphia
2019,10,113,6894,APC,311,Philadelphia
2019,10,114,1967,APC,312,Philadelphia
2019,10,115,1203,APC,313,Philadelphia
2019,10,117,2086,APC,314,Philadelphia
2019,10,118,569,APC,315,Philadelphia
2019,10,119,723,APC,316,Philadelphia
2019,10,120,420,APC,317,Philadelphia
2019,10,123,930,APC,318,Philadelphia
2019,10,124,1948,APC,319,Philadelphia
2019,10,125,2330,APC,320,Philadelphia
2019,10,126,638,APC,321,Philadelphia
2019,10,127,315,APC,322,Philadelphia
2019,10,128,387,APC,323,Philadelphia
2019,10,129,936,APC,324,Philadelphia
2019,10,130,614,APC,325,Philadelphia
2019,10,131,711,APC,326,Philadelphia
2019,10,132,379,APC,327,Philadelphia
2019,10,133,84,APC,328,Philadelphia
2019,10,139,406,APC,329,Philadelphia
2019,10,150,35,APC,330,Philadelphia
2019,10,201,175,APC,331,Philadelphia
2019,10,204,216,APC,332,Philadelphia
2019,10,206,170,APC,333,Philadelphia
2019,10,310,474,APC,334,Philadelphia
2019,10,311,228,APC,335,Philadelphia
2019,10,47M,1103,APC,336,Philadelphia
2019,10,BLVDDIR,3417,APC,337,Philadelphia
2019,10,B1 OWL,1808,APC,338,Philadelphia
2019,10,63,17112,APC,339,Philadelphia
2019,10,71,4973,APC,340,Philadelphia
2019,10,41,2949,APC,341,Philadelphia
2019,10,K,9239,APC,342,Philadelphia
2019,10,51,7836,APC,343,Philadelphia
2019,10,LUCYGO,1635,APC,344,Philadelphia
2019,10,LUCYGR,1179,APC,345,Philadelphia
2019,10,L1 OWL,1999,APC,346,Philadelphia
2019,10,82,10439,APC,347,Philadelphia
2019,10,81,5953,APC,348,Philadelphia
2019,11,1,2910,APC,349,Philadelphia
2019,11,2,5018,APC,350,Philadelphia
2019,11,3,8766,APC,351,Philadelphia
2019,11,4,6712,APC,352,Philadelphia
2019,11,5,3669,APC,353,Philadelphia
2019,11,6,5999,APC,354,Philadelphia
2019,11,7,5014,APC,355,Philadelphia
2019,11,8,2633,APC,356,Philadelphia
2019,11,9,4509,APC,357,Philadelphia
2019,11,T1,10422,Traffic,358,Philadelphia
2019,11,T4,12460,APC,359,Philadelphia
2019,11,12,2425,APC,360,Philadelphia
2019,11,T3,12658,APC,361,Philadelphia
2019,11,14,6188,APC,362,Philadelphia
2019,11,G1,10194,Traffic,363,Philadelphia
2019,11,16,7063,APC,364,Philadelphia
2019,11,17,9405,APC,365,Philadelphia
2019,11,18,14490,APC,366,Philadelphia
2019,11,19,1365,APC,367,Philadelphia
2019,11,20,4762,APC,368,Philadelphia
2019,11,21,10129,APC,369,Philadelphia
2019,11,22,4528,APC,370,Philadelphia
2019,11,23,15678,APC,371,Philadelphia
2019,11,24,2242,APC,372,Philadelphia
2019,11,25,4346,APC,373,Philadelphia
2019,11,26,11748,APC,374,Philadelphia
2019,11,27,4437,APC,375,Philadelphia
2019,11,28,1894,APC,376,Philadelphia
2019,11,29,4611,APC,377,Philadelphia
2019,11,30,1267,APC,378,Philadelphia
2019,11,31,4883,APC,379,Philadelphia
2019,11,32,4908,APC,380,Philadelphia
2019,11,33,11572,APC,381,Philadelphia
2019,11,T2,12237,APC,382,Philadelphia
2019,11,35,150,APC,383,Philadelphia
2019,11,T5,13727,APC,384,Philadelphia
2019,11,37,3419,APC,385,Philadelphia
2019,11,38,2822,APC,386,Philadelphia
2019,11,39,2541,APC,387,Philadelphia
2019,11,40,7372,APC,388,Philadelphia
2019,11,42,9246,APC,389,Philadelphia
2019,11,43,3704,APC,390,Philadelphia
2019,11,44,3482,APC,391,Philadelphia
2019,11,45,6217,APC,392,Philadelphia
2019,11,46,5714,APC,393,Philadelphia
2019,11,47,17860,APC,394,Philadelphia
2019,11,48,7778,APC,395,Philadelphia
2019,11,49,3024,APC,396,Philadelphia
2019,11,50,1973,APC,397,Philadelphia
2019,11,52,14273,APC,398,Philadelphia
2019,11,53,2901,APC,399,Philadelphia
2019,11,54,7139,APC,400,Philadelphia
2019,11,55,5000,APC,401,Philadelphia
2019,11,56,10786,APC,402,Philadelphia
2019,11,57,10642,APC,403,Philadelphia
2019,11,58,8157,APC,404,Philadelphia
2019,11,59,4711,APC,405,Philadelphia
2019,11,60,10787,APC,406,Philadelphia
2019,11,61,4492,APC,407,Philadelphia
2019,11,62,249,APC,408,Philadelphia
2019,11,64,5990,APC,409,Philadelphia
2019,11,65,7925,APC,410,Philadelphia
2019,11,66,10806,APC,411,Philadelphia
2019,11,67,4884,APC,412,Philadelphia
2019,11,68,2471,APC,413,Philadelphia
2019,11,70,8356,APC,414,Philadelphia
2019,11,73,2393,APC,415,Philadelphia
2019,11,75,3363,APC,416,Philadelphia
2019,11,77,852,APC,417,Philadelphia
2019,11,78,78,APC,418,Philadelphia
2019,11,79,5610,APC,419,Philadelphia
2019,11,80,225,APC,420,Philadelphia
2019,11,84,3718,APC,421,Philadelphia
2019,11,88,2270,APC,422,Philadelphia
2019,11,89,1724,APC,423,Philadelphia
2019,11,90,408,APC,424,Philadelphia
2019,11,92,317,APC,425,Philadelphia
2019,11,93,1242,APC,426,Philadelphia
2019,11,94,491,APC,427,Philadelphia
2019,11,95,579,APC,428,Philadelphia
2019,11,96,1356,APC,429,Philadelphia
2019,11,97,686,APC,430,Philadelphia
2019,11,98,969,APC,431,Philadelphia
2019,11,99,1255,APC,432,Philadelphia
2019,11,D1,4180,Traffic,433,Philadelphia
2019,11,D2,4235,Traffic,434,Philadelphia
2019,11,103,1312,APC,435,Philadelphia
